filename,folder,words,text
g4ela-7-1-welcome.mp3,guide/rachel,66,"Hello, it’s Mrs. Rachel Lynde, and today I’ll be guiding you through your lesson. I live at the bottom of the hollow, and nothing in Avonlea gets past my window. Today’s question is how a writer makes a place feel real. By the end, you’ll be able to tell how the narrator describes Avonlea from how I see it. We’ll sort out some stubborn plurals, too."
g4ela-7-1-wgrd.mp3,guide/rachel,68,"Now, you’ll hear two voices telling you about me today. One is the narrator, who stands outside the story and sees everything. The other is me, and I’m generally right, of course. Keep the two of us apart as you read. When you meet a strong opinion, ask whose it is. You may find the narrator notices a thing or two about me that I’d never say myself."
g4ela-7-1-dol.mp3,guide/rachel,60,"Mind your capitals, that’s what I always say. A lady’s title, her name, and the name of her village all deserve a capital letter. The sentence you’re fixing has forgotten every one of them, and it’s forgotten how to stop, besides. Study the correct one first. Ordinary words stay small. Proper names stand up straight. Everybody in Avonlea knows that."
g4ela-7-1-guide1.mp3,guide/rachel,63,"Words are a good deal like the families of Avonlea. Once you know who belongs with whom, everything makes sense. Today’s word parts both mean with, or together, and I know a thing or two about together. I run the Sewing Circle, I help with the Sunday-school, and I keep an eye on everybody else besides. Work through these carefully. I’ll be watching."
g4ela-7-1-morphology.mp3,guide/rachel,70,"Look at the start of a word before you look at the end of it. Every word today begins with a little part that means together. Conversation is my specialty, as anyone in Avonlea will tell you. It means turning words over together with a neighbor, and I can’t think of a better use of a spare hour. Spot that first part, and the long words stop looking so grand."
g4ela-7-1-vocabulary.mp3,guide/rachel,64,"Four new words, and you’ll want them before the week is out. Placid means calm and still, like the brook by the time it reaches my house. It minds its manners there, you know. As for imagine, well, I’ve no great use for it myself. Plain sense serves me better. But try the three steps on every word, and see how close you get."
g4ela-7-1-grammar.mp3,guide/rachel,69,"Most words make more than one the sensible way. You add a letter and have done with it. But some words refuse to behave. One mouse, two mice. One goose, a whole yard of geese. You can’t reason those out. You simply have to know them, the way I know every family on this road. Sort them into two groups, and give each group a name of your own."
g4ela-7-1-spelling.mp3,guide/rachel,69,"Here’s something I’ve noticed about plurals, and I notice a great deal. Most words simply add their letter and carry on. But a word that ends in a hissing sound needs an extra bit, or you’d never get your tongue round it. And a y at the end, with a consonant in front of it, has to change its ways. Sort them, then work out what makes the difference."
g4ela-7-1-guide2.mp3,guide/rachel,67,"Open the book, and you’ll find me at my window. That’s where I do my best thinking. Now, I’m not one for imagination. I deal in plain facts. But when I saw Matthew Cuthbert drive off in his best suit, my mind went off in a dozen directions at once. Watch how much a person can imagine about a thing, just from looking out of a window."
g4ela-7-1-read.mp3,guide/rachel,67,"Take your time with this chapter. It starts slowly, the way Avonlea does, with the road and the brook and the orchards. Don’t hurry past them. They’re how you come to know the place. There are two spots to stop and think along the way. By the end, you’ll know exactly where Matthew was going. I found out, eventually. It took me a walk to Green Gables."
g4ela-7-1-guide3.mp3,guide/rachel,67,"Well. A boy from an orphan asylum, if you please. I told Marilla exactly what I thought of it, and I don’t take back a word. Now it’s your turn to say what you noticed. Don’t just tell me what happened. Point to the words in the book that show it. And mind you, the narrator may have noticed a thing or two about me as well."
g4ela-7-1-chapter.mp3,guide/rachel,62,"These questions are mostly about me, which is only right. But here’s the question underneath them. Can you trust what I think? I was very sure about Matthew, and very sure about that orphan. When you answer, sort out what I believed from what the narrator actually showed you. They aren’t always the same thing, though I’d never admit that to Marilla."
g4ela-7-1-wordconn.mp3,guide/rachel,67,"Your word parts answer is saved already, so here’s how it joins up. All week, you’re working with words that mean together. And that’s the whole of today’s chapter, when you think about it. A brother and sister who’ve lived alone at Green Gables for years, deciding to bring somebody new into the house. Company, you might call it. Whether it turns out well is another matter."
g4ela-7-1-workshop.mp3,guide/rachel,62,"You’re starting a story of your own, and every good story needs a question at the start of it. Mine was, where is Matthew Cuthbert going? I couldn’t rest until I knew. Give your character something they can’t leave alone. A worry, a wish, a mystery down the road. Then write your one sentence about who they are and what they’ll learn."
